"Date","Facebook","Pinterest","YouTube","Instagram","Twitter","Tumblr","Other"
2019-05,97.02,1.49,1.06,0.07,0.34,0.01,0.01
2019-06,98.44,0.75,0.54,0.02,0.23,0.01,0.01
2019-07,98.87,0.56,0.38,0.03,0.16,0,0
2019-08,94.81,2.86,1.61,0.1,0.6,0.01,0.02
2019-09,97.45,1.28,0.7,0.18,0.36,0.01,0.01
2019-10,73.86,8.81,4.88,7.04,5.23,0.1,0.09
2019-11,94.94,1.89,0.81,1.32,0.98,0.03,0.03
2019-12,61.83,16.89,6.03,10.43,4.68,0.06,0.09
2020-01,62.36,17.09,5.87,9.91,4.62,0.08,0.07
2020-02,66.33,14.09,5.34,9.71,4.37,0.04,0.13
2020-03,71.6,10.92,4.91,7.63,4.83,0.08,0.03
2020-04,65.64,13.52,6.94,6.7,6.98,0.15,0.08
2020-05,73.6,16.31,7.76,0.21,1.93,0.15,0.05
